"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","85.48739978315825","766.8465531041963","382.5087389229495","0","64.98958333333333","62.55178819298731","0.0","267.0","53.0","6239.0","432.40625","409.14502841451684","0.0","2204.0","284.0","41511.0","381.2395833333333","34.17069991171004","285.0","474.0","382.0","36599.0","456.8187937365004","450.44457412152843","15.538033123430216","64.53333333333333","360.3","384.0","5.0","0","126"
"PSM","1","2","82.56447671184506","658.351244283658","383.72025740480683","1","66.04166666666667","57.30195489760989","0.0","213.0","53.0","6340.0","409.4166666666667","367.2079194956871","0.0","1635.0","284.0","39304.0","379.21875","39.902038762053515","288.0","481.0","379.0","36405.0","458.79005970946105","450.44457412152843","15.538033123430216","59.1875","344.96875","377.625","5.0","0","126"
"PSM","2","2","68.25597832922081","513.094289216984","378.64566372651564","2","58.8125","59.216340650195534","0.0","267.0","53.0","5646.0","345.0208333333333","292.35079790396964","0.0","1351.0","284.0","33122.0","380.6041666666667","43.6441300488313","291.0","479.0","372.0","36538.0","458.79005970946105","451.9271708960095","19.79015602685019","55.96875","292.75","375.34375","5.0","0","126"
"PSM","3","2","57.78500462439729","712.0672582443217","392.70987872612926","3","52.145833333333336","47.11620107254797","0.0","213.0","53.0","5006.0","422.7604166666667","369.6277144083922","0.0","1564.0","284.0","40585.0","390.1145833333333","37.68843737014721","288.0","543.0","385.0","37451.0","460.1981068330043","453.3352180195528","19.79015602685019","49.689655172413794","376.9310344827586","384.44827586206895","5.0","0","126"
"PSM","4","2","78.3096061723617","583.9019190392719","380.54135200682873","4","56.03125","60.158116768711224","0.0","267.0","53.0","5379.0","361.2916666666667","319.573462987173","0.0","1422.0","284.0","34684.0","374.3958333333333","32.64432864959021","293.0","447.0","379.0","35942.0","462.73259165538224","455.86970284193075","19.79015602685019","51.53333333333333","308.03333333333336","368.06666666666666","5.0","0","126"
"PSM","5","2","61.70839788895409","673.3063911953963","368.06542569047775","5","53.851063829787236","65.21263111484318","0.0","320.0","53.0","5062.0","418.1808510638298","379.9731162750084","0.0","1493.0","284.0","39309.0","366.01063829787233","41.63654688068326","285.0","472.0","362.0","34405.0","464.14063877892556","455.58809341722207","19.79015602685019","52.483870967741936","353.258064516129","364.06451612903226","5.0","0","126"
"PSM","6","2","64.4409251352792","613.8484583564435","346.196479984985","6","57.73809523809524","55.753571185553916","0.0","267.0","53.0","4850.0","456.1547619047619","341.85925004966725","0.0","1351.0","427.0","38317.0","345.20238095238096","33.30790266295574","293.0","449.0","341.0","28997.0","464.4222482036342","458.4331679002563","17.261866732924798","56.869565217391305","428.17391304347825","343.82608695652175","5.0","0","126"
"PSM","7","2","60.48286496423232","563.2316334776636","330.6353760863085","7","50.76190476190476","64.10996183095669","0.0","267.0","53.0","4264.0","411.2738095238095","347.47090893887315","0.0","1422.0","285.0","34547.0","325.8809523809524","46.41416608687345","248.0","419.0","320.0","27374.0","465.54868590246883","458.9963867496736","17.261866732924798","52.24","360.48","328.24","5.0","0","126"
