"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","101.01577054573596","958.1801310421795","419.2329416507793","0","94.46808510638297","76.22289077445295","0.0","320.0","80.0","8880.0","687.0106382978723","377.8587804327509","53.0","1867.0","639.0","64579.0","417.0744680851064","51.37616688609196","307.0","551.0","416.0","39205.0","324.7379509191699","373.7233173024889","5.49900912037152","94.19354838709677","628.4193548387096","414.0967741935484","5.0","0","126"
"PSM","1","2","94.00560117921974","887.7491679079712","391.8518011847435","1","88.0","76.65340619209994","0.0","360.0","80.0","8360.0","671.8842105263158","369.829657831643","53.0","1920.0","640.0","63829.0","391.4","42.682000790606835","310.0","520.0","389.0","37183.0","324.7379509191699","377.85058714754905","5.49900912037152","83.0","612.4333333333333","398.2","5.0","0","126"
"PSM","2","2","92.30361576242231","866.1399947741812","433.496085813028","2","73.61702127659575","70.70841326999803","0.0","320.0","40.0","6920.0","691.5425531914893","334.6325432918476","107.0","1387.0","693.0","65005.0","434.3723404255319","45.10083899812151","330.0","566.0","430.0","40831.0","326.6139826669245","377.4753807979981","5.49900912037152","71.33333333333333","624.4","435.96666666666664","5.0","0","126"
"PSM","3","2","80.95507451778845","822.4127583512198","451.0179991319549","3","83.26530612244898","75.25592774137202","0.0","320.0","80.0","8160.0","663.8571428571429","356.83710800515763","0.0","1440.0","693.0","65058.0","447.8979591836735","40.498820091230094","366.0","573.0","446.0","43894.0","325.11315726872084","373.7233173024889","5.49900912037152","79.33333333333333","610.6","447.23333333333335","5.0","0","126"
"PSM","4","2","75.24242508847314","885.8883254575804","468.56080053569946","4","78.27956989247312","62.66931250817883","0.0","360.0","80.0","7280.0","717.8924731182796","388.2793554613905","107.0","1600.0","693.0","66764.0","461.741935483871","43.25578705334683","366.0","594.0","462.0","42942.0","325.11315726872084","374.47373000159075","5.49900912037152","81.61290322580645","617.7741935483871","455.5483870967742","5.0","0","126"
"PSM","5","2","54.125987075349656","883.9052449626714","440.016085189665","5","56.170212765957444","55.43777647208894","0.0","240.0","40.0","5280.0","700.6063829787234","395.4022646957924","107.0","1707.0","693.0","65857.0","438.28723404255317","29.964359596538287","354.0","513.0","438.0","41199.0","324.7379509191699","372.97290460338706","5.49900912037152","57.241379310344826","612.8620689655172","437.58620689655174","5.0","0","126"
"PSM","6","2","61.18037344166664","879.3320806195792","419.5183067534526","6","68.43373493975903","57.43462726483771","0.0","240.0","80.0","5680.0","789.0361445783133","364.35239728776963","53.0","1920.0","747.0","65490.0","419.93975903614455","29.91383944239072","353.0","501.0","419.0","34855.0","322.4867128218644","373.9378200774674","7.136147004476319","68.75","758.9583333333334","421.3333333333333","5.0","0","126"
"PSM","7","2","81.30765599535749","829.4892318526407","400.4873568137906","7","75.76470588235294","64.74081053724619","0.0","280.0","80.0","6440.0","769.7294117647059","361.01960071558494","107.0","1759.0","693.0","65427.0","398.52941176470586","33.926948214156404","344.0","499.0","395.0","33875.0","322.8619191714153","374.3130264270183","7.136147004476319","74.4","700.24","398.36","5.0","0","126"
