"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","28.12744991463617","763.1101101682381","411.73187426207943","0","27.31081081081081","40.65657225869799","0.0","213.0","0.0","2021.0","488.0","399.8654910828191","0.0","1635.0","427.0","36112.0","421.05405405405406","59.75174483424533","328.0","587.0","400.0","31158.0","479.8746302322947","470.54842754407383","0.05644724642973342","30.583333333333332","413.25","425.25","5.0","0","126"
"PSM","1","2","47.438371876838445","612.0089978147826","401.75405099243636","1","40.43","42.97738540867341","0.0","160.0","53.0","4043.0","398.06","323.87851008198925","0.0","1209.0","355.0","39806.0","402.32","40.86337917470553","300.0","523.0","401.0","40232.0","484.6733869737448","467.58909079141995","5.085693375950056","38.70967741935484","344.06451612903226","405.61290322580646","5.0","0","126"
"PSM","2","2","32.03639300502641","687.435551565628","388.4229385404859","2","21.464646464646464","31.28255467780173","0.0","107.0","0.0","2125.0","411.44444444444446","357.7064473759609","0.0","1564.0","355.0","40733.0","396.8181818181818","41.295442164956384","325.0","573.0","394.0","39285.0","486.5082057278287","466.31883165397727","5.085693375950056","20.866666666666667","357.8333333333333","402.3333333333333","5.0","0","126"
"PSM","3","2","41.485407893044055","717.4518604151451","426.18877502206806","3","35.891304347826086","41.96844877745036","0.0","160.0","0.0","3302.0","447.3695652173913","363.4802991287891","0.0","1351.0","356.0","41158.0","426.04347826086956","62.431133583461424","299.0","582.0","425.0","39196.0","488.06074467359196","467.16567107893906","5.085693375950056","31.233333333333334","370.4","433.3333333333333","5.0","0","126"
"PSM","4","2","43.55942443856665","700.6300016264386","430.7061602010551","4","35.29347826086956","42.07124727304163","0.0","160.0","0.0","3247.0","436.5108695652174","349.6137427380729","0.0","1351.0","355.0","40159.0","434.1847826086956","53.19669686263497","294.0","634.0","436.0","39945.0","488.06074467359196","467.16567107893906","5.085693375950056","36.06666666666667","359.6666666666667","437.6666666666667","5.0","0","126"
"PSM","5","2","42.963008095016626","641.6970005655929","446.5212266239304","5","37.03260869565217","43.86504054632698","0.0","160.0","53.0","3407.0","376.2608695652174","371.8831752505085","0.0","1493.0","284.0","34616.0","441.5217391304348","48.44175799680798","317.0","542.0","444.0","40620.0","491.1658225651185","470.27074897046555","5.085693375950056","34.2","315.1666666666667","442.3666666666667","5.0","0","126"
"PSM","6","2","22.400917529020905","603.5991189208831","481.55373744899606","6","22.76923076923077","31.890115822610092","0.0","107.0","0.0","2072.0","396.02197802197804","316.78766032442263","0.0","1209.0","355.0","36038.0","473.967032967033","47.07215514492395","378.0","567.0","477.0","43131.0","493.0006413192024","471.2587282995876","5.085693375950056","21.483870967741936","319.35483870967744","465.2258064516129","5.0","0","126"
"PSM","7","2","47.93335244070197","588.4026513688933","488.5772752348437","7","34.927083333333336","44.375489866334945","0.0","267.0","0.0","3353.0","374.625","328.08594028169864","0.0","1280.0","284.0","35964.0","486.6145833333333","40.871137619974284","411.0","609.0","488.0","46715.0","494.55318026496565","477.1866042743201","5.085693375950056","33.65625","312.71875","485.28125","5.0","0","126"
