"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","69.5917806913449","578.3789773491513","413.43845524624516","0","69.01960784313725","54.90784004907304","0.0","200.0","40.0","7040.0","416.6372549019608","277.44608928531795","53.0","1280.0","373.0","42497.0","413.8627450980392","50.76290046556594","319.0","615.0","409.0","42214.0","484.6142425052867","472.74192273298974","4.983670867996861","68.06451612903226","390.19354838709677","408.7096774193548","5.0","0","121"
"PSM","1","2","58.232981062147914","614.6946306873908","434.5221659557012","1","67.25274725274726","56.53054108800016","0.0","280.0","40.0","6120.0","463.43956043956047","277.0892839979044","0.0","1120.0","426.0","42173.0","429.38461538461536","48.70312999997919","338.0","575.0","426.0","39074.0","483.74343946336","474.7012295773248","4.983670867996861","64.66666666666667","425.2","426.1666666666667","5.0","0","121"
"PSM","2","2","54.9108477524652","550.9229030714733","409.6711008937739","2","55.65217391304348","47.793152018229065","0.0","240.0","40.0","5120.0","408.0326086956522","272.788991878014","0.0","1440.0","320.0","37539.0","402.60869565217394","60.51100281780367","268.0","556.0","399.0","37040.0","484.1788409843234","474.9189303378065","4.983670867996861","59.0","381.8","401.3666666666667","5.0","0","121"
"PSM","3","2","38.437696997313985","635.5759621247112","420.4957572828443","3","45.27472527472528","41.82876892338465","0.0","160.0","40.0","4120.0","455.31868131868134","283.895555094979","0.0","1334.0","374.0","41434.0","410.8901098901099","60.320892004429204","239.0","549.0","409.0","37391.0","485.4850455472134","477.7490402240683","4.983670867996861","47.333333333333336","415.6","408.53333333333336","5.0","0","121"
"PSM","4","2","50.78516989940061","627.7775903561223","408.5943984524518","4","52.21052631578947","52.85827996027056","0.0","240.0","40.0","4960.0","450.7368421052632","311.27856480139343","0.0","1280.0","373.0","42820.0","403.4","57.449959724445634","275.0","588.0","391.0","38323.0","485.92044706817677","476.44283566117826","4.983670867996861","51.515151515151516","382.3333333333333","403.3030303030303","5.0","0","121"
"PSM","5","2","37.74727151013161","648.976502949928","449.47240526437304","5","43.75","41.47922752160982","0.0","160.0","40.0","4200.0","459.90625","288.76780248150936","53.0","1120.0","373.0","44151.0","436.9479166666667","68.18108547586101","293.0","649.0","429.0","41947.0","486.1381478286585","478.619843265995","4.983670867996861","44.375","407.5625","429.4375","5.0","0","121"
"PSM","6","2","55.36505396521068","631.8441592585132","517.325375061407","6","55.35353535353536","49.7198915417638","0.0","200.0","40.0","5480.0","452.95959595959596","309.06105067564414","0.0","1227.0","373.0","44843.0","488.3030303030303","90.47859759841894","307.0","768.0","484.0","48342.0","486.35584858914007","478.1844417450317","4.983670867996861","59.310344827586206","425.7586206896552","481.58620689655174","5.0","0","121"
"PSM","7","2","45.0228655296287","777.6706515631754","486.0774810869571","7","46.18556701030928","42.166418781445415","0.0","160.0","40.0","4480.0","539.8041237113403","323.58363290317675","0.0","1440.0","480.0","52361.0","485.62886597938143","81.69982144865597","294.0","751.0","469.0","47106.0","489.1859584754019","478.4021425055133","4.983670867996861","52.8125","468.3125","472.59375","5.0","0","121"
