"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","51.06990437765403","688.5765992241585","328.64752663615445","0","50.08403361344538","45.76090771736835","0.0","200.0","40.0","5960.0","481.69747899159665","333.88695830444476","0.0","1546.0","479.0","57322.0","327.84033613445376","29.640496574352323","252.0","400.0","325.0","39013.0","295.08172911063957","365.4453033261505","0.1371696944423062","51.08108108108108","455.2162162162162","330.7027027027027","5.0","0","122"
"PSM","1","2","49.358405482826115","701.8016450106246","333.84806560290247","1","45.04201680672269","45.56377444484531","0.0","240.0","40.0","5360.0","561.4453781512605","332.26925719859327","0.0","1547.0","533.0","66812.0","328.73949579831935","21.13013038088307","280.0","381.0","331.0","39120.0","295.08172911063957","364.8167474164824","0.1371696944423062","46.31578947368421","486.36842105263156","330.13157894736844","5.0","0","122"
"PSM","2","2","50.84817047550803","647.4855511357888","325.790511902285","2","50.598290598290596","48.81864041762296","0.0","200.0","40.0","5920.0","589.2307692307693","257.7206247555735","0.0","1386.0","587.0","68940.0","324.8974358974359","22.984396737106245","277.0","382.0","324.0","38013.0","294.7674511558055","367.645249009989","0.1371696944423062","47.714285714285715","549.6571428571428","328.54285714285714","5.0","0","122"
"PSM","3","2","38.004290907991916","676.1659381475873","332.3637003019552","3","42.27642276422764","43.84796774792516","0.0","200.0","40.0","5200.0","563.1544715447154","260.1952933799044","0.0","1493.0","533.0","69268.0","335.9512195121951","26.3276497611014","268.0","401.0","333.0","41322.0","294.13899097824685","370.15947264866156","0.12619988123822146","41.31578947368421","521.7631578947369","335.44736842105266","5.0","0","122"
"PSM","4","2","37.775122639724934","631.2439331265609","327.84691899454225","4","46.17886178861789","46.386125773420936","0.0","200.0","40.0","5680.0","568.4065040650406","262.565240523419","53.0","1173.0","533.0","69914.0","328.6341463414634","17.15276983448452","302.0","383.0","327.0","40422.0","294.13899097824685","372.35941833250007","0.12619988123822146","50.78947368421053","524.6842105263158","327.0263157894737","5.0","0","122"
"PSM","5","2","34.94749037945209","614.0028774542911","321.1371467907285","5","41.016949152542374","43.89945447762749","0.0","200.0","40.0","4840.0","532.3050847457627","258.25600193998775","53.0","1493.0","480.0","62812.0","322.1186440677966","22.53019606878445","281.0","383.0","320.0","38010.0","291.9393803567916","370.47375060349566","0.08780553502392396","40.526315789473685","496.55263157894734","323.94736842105266","5.0","0","122"
"PSM","6","2","35.61043485969515","649.7898010995885","324.93171991776546","6","34.87179487179487","40.18524743492113","0.0","160.0","40.0","4080.0","572.3931623931624","247.47009423170923","0.0","1333.0","534.0","66970.0","327.35042735042737","24.755813054476942","278.0","393.0","328.0","38300.0","292.2536104455709","368.27380491965715","0.09329044162596634","36.21621621621622","523.9459459459459","327.4594594594595","5.0","0","122"
"PSM","7","2","28.503656577509805","568.0661007954293","328.2990447201034","7","29.4017094017094","37.284798563882696","0.0","160.0","0.0","3440.0","511.79487179487177","215.19868680143247","107.0","1227.0","480.0","59880.0","329.5811965811966","19.21755632149008","289.0","385.0","330.0","38561.0","292.2536104455709","368.27380491965715","0.09329044162596634","29.18918918918919","472.7837837837838","331.1621621621622","5.0","0","122"
