"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","44.64337136968685","974.4098080222102","380.7004305858682","0","37.721518987341774","40.69302095403926","0.0","200.0","40.0","5960.0","774.6012658227849","365.0178067355843","107.0","2133.0","800.0","122387.0","381.67721518987344","28.88727685625557","309.0","461.0","380.0","60305.0","292.64801668511205","376.21150292533196","20.01671061181221","34.61538461538461","698.2884615384615","380.11538461538464","5.0","0","112"
"PSM","1","2","40.78011383554807","880.0542877929569","408.55579552219797","1","37.721518987341774","42.88777733587667","0.0","280.0","40.0","5960.0","726.632911392405","386.0559900389748","53.0","1707.0","693.0","114808.0","401.5126582278481","50.30046502194436","308.0","558.0","395.0","63439.0","292.64801668511205","376.21150292533196","20.01671061181221","35.96153846153846","685.6346153846154","397.0576923076923","5.0","0","112"
"PSM","2","2","41.72323982942351","684.177411979326","381.612345775458","2","38.742138364779876","39.3417698977765","0.0","200.0","40.0","6160.0","495.3207547169811","370.0111240331665","53.0","1493.0","373.0","78756.0","383.62264150943395","26.66711796051531","328.0","483.0","384.0","60996.0","291.6829453583197","372.9941084779328","20.033555994481734","35.714285714285715","475.51020408163265","386.59183673469386","5.0","0","112"
"PSM","3","2","36.92745646431897","926.6594111573246","383.1160228677556","3","31.84713375796178","32.89107228356598","0.0","160.0","40.0","5000.0","614.4394904458599","509.8688159283219","0.0","2027.0","427.0","96467.0","384.80254777070064","33.26244503757219","306.0","483.0","380.0","60414.0","289.75280270473513","372.9941084779328","20.067246759820776","32.5531914893617","532.5957446808511","385.5744680851064","5.0","0","112"
"PSM","4","2","30.63035181794881","785.6531986653845","379.2984981802193","4","30.25","36.92504731881674","0.0","200.0","40.0","4840.0","372.89375","489.9117953839131","0.0","2613.0","213.0","59663.0","385.71875","44.93659710563276","296.0","526.0","378.0","61715.0","288.1443504934146","371.7071506989731","20.095322397603308","31.923076923076923","308.78846153846155","387.96153846153845","5.0","0","112"
"PSM","6","2","43.332096421732594","665.1536536850377","409.74845970020533","5","38.9937106918239","38.43776769676806","0.0","200.0","40.0","6200.0","383.3333333333333","387.20123094967704","0.0","1600.0","213.0","60950.0","411.49056603773585","34.269938837199895","331.0","493.0","409.0","65427.0","287.8226600511505","372.67236903319287","20.100937525159814","39.2","343.3","411.56","5.0","0","112"
"PSM","7","2","46.07024844291022","679.1086722445078","416.9793400757536","6","36.2962962962963","39.07134561682234","0.0","160.0","40.0","5880.0","407.1296296296296","375.45199491158917","0.0","1760.0","267.0","65955.0","411.2283950617284","34.44831842236527","320.0","497.0","414.0","66619.0","286.21420783983","378.14193959377144","20.12901316294235","35.4","382.94","411.04","5.0","0","112"
"PSM","8","2","32.22783015349389","669.0502020942693","412.06570284633165","7","31.69811320754717","34.88149099650133","0.0","160.0","40.0","5040.0","440.28930817610063","381.520166295341","0.0","1600.0","320.0","70006.0","413.57861635220127","38.29141815606358","330.0","529.0","411.0","65759.0","286.21420783983","381.3593340411706","20.12901316294235","31.224489795918366","440.3265306122449","410.9591836734694","5.0","0","112"
