"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","2","43.582910246566385","744.9336704946483","376.0079020954256","8","50.75268817204301","46.49068534896989","0.0","200.0","40.0","4720.0","487.9569892473118","380.6227995289715","0.0","1387.0","373.0","45380.0","378.78494623655916","28.901575653739325","311.0","447.0","376.0","35227.0","477.9150333444254","430.05839761767095","5.720904342880257","53.10344827586207","414.7241379310345","384.1034482758621","5.0","0","110"
"PSM","1","2","47.27011501180722","681.1479212729574","398.7284762324598","9","49.23076923076923","42.196123287724184","0.0","160.0","40.0","4480.0","465.2967032967033","355.2470656538597","0.0","1493.0","374.0","42342.0","397.7032967032967","35.7100964575985","314.0","488.0","396.0","36191.0","478.74857574466046","428.94700775069094","5.720904342880257","52.758620689655174","421.2413793103448","398.62068965517244","5.0","0","110"
"PSM","2","2","71.24672974972002","740.5750652814467","394.81014873279963","10","63.73626373626374","51.286739712421486","0.0","280.0","40.0","5800.0","503.35164835164835","426.3177837567331","0.0","1920.0","373.0","45805.0","392.45054945054943","28.911844453350774","333.0","470.0","389.0","35713.0","478.74857574466046","428.94700775069094","5.720904342880257","63.793103448275865","452.0344827586207","392.86206896551727","5.0","0","110"
"PSM","3","2","69.42563786451242","749.505483365537","401.10950967642356","11","56.26373626373626","48.800008006564745","0.0","200.0","40.0","5120.0","515.6593406593406","411.7700064566848","0.0","1653.0","373.0","46925.0","403.1758241758242","34.079186677369","332.0","536.0","396.0","36689.0","478.74857574466046","428.94700775069094","5.720904342880257","54.827586206896555","479.48275862068965","403.48275862068965","5.0","0","110"
"PSM","4","2","75.65682379683132","798.6748498390675","366.9144519493549","12","69.0909090909091","56.80419122742489","0.0","240.0","80.0","6840.0","540.2323232323232","383.75063194211947","0.0","1546.0","374.0","53483.0","369.3636363636364","28.915236625193113","298.0","468.0","367.0","36567.0","479.8599656116404","429.78055015092593","5.720904342880257","65.48387096774194","474.4193548387097","372.258064516129","5.0","0","110"
"PSM","5","2","116.4730182421316","782.9671022998717","376.35594699042724","13","90.3225806451613","66.17584632436629","0.0","280.0","80.0","8400.0","548.1290322580645","387.52818202726587","53.0","1547.0","427.0","50976.0","380.40860215053766","32.5149586174478","301.0","454.0","376.0","35378.0","480.4156605451304","429.5027026841809","5.720904342880257","82.58064516129032","487.35483870967744","380.741935483871","5.0","0","110"
"PSM","6","2","120.69779314152471","702.305451494028","375.6399526379967","14","96.7741935483871","67.32725545266364","0.0","320.0","80.0","9000.0","501.19354838709677","372.596332978773","0.0","1494.0","426.0","46611.0","377.21505376344084","33.79601515691176","299.0","473.0","380.0","35081.0","481.80489787885534","429.5027026841809","5.720904342880257","94.66666666666667","460.46666666666664","377.03333333333336","5.0","0","110"
"PSM","7","2","110.02934744133044","883.0677989583704","346.0879419577054","15","89.46236559139786","62.52591795473522","0.0","240.0","80.0","8320.0","626.0860215053764","440.4933907591325","0.0","1813.0","480.0","58226.0","350.7741935483871","32.55501331601033","285.0","463.0","347.0","32622.0","481.80489787885534","429.5027026841809","5.720904342880257","85.0","529.2666666666667","353.6666666666667","5.0","0","110"
