"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2","Center ch3"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","Mean ch3","Std ch3","Min ch3","Max ch3","Median ch3","Sum ch3","X","Y","Z","Mean ch1","Mean ch2","Mean ch3"," "," "," "
"","","","(Counts)","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","(micron)","",""
"PSM","0","1","56.50540212524543","985.1524462955322","316.3717276535833","0","60.0","47.133668792201505","0.0","200.0","40.0","8400.0","892.4571428571429","250.44200843488758","373.0","1493.0","853.0","124944.0","317.6857142857143","22.533775038189606","257.0","371.0","317.0","44476.0","346.68334450712155","347.8443317091901","17.038288047940632","59.285714285714285","848.6190476190476","319.6190476190476","5.0","0","122"
"PSM","1","2","62.6405557129213","1029.0804800545816","326.4058576464814","1","63.829787234042556","59.13253364227181","0.0","320.0","40.0","9000.0","879.7446808510638","335.22826773612326","266.0","1707.0","853.0","124044.0","325.9574468085106","27.2141959647181","274.0","414.0","322.0","45960.0","346.68334450712155","348.7034948041077","17.038288047940632","67.5","834.5681818181819","323.8636363636364","5.0","0","122"
"PSM","2","2","71.70167085236017","929.0563664542174","306.79587250868406","2","74.4055944055944","66.0518615875923","0.0","360.0","40.0","10640.0","828.2657342657343","340.7293533998723","160.0","1707.0","853.0","118442.0","311.12587412587413","22.661274013160362","259.0","385.0","309.0","44491.0","346.68334450712155","351.8537594854724","17.038288047940632","75.11627906976744","790.3488372093024","311.3488372093023","5.0","0","122"
"PSM","3","2","67.86854598068632","905.2490958026115","320.22354638809827","3","69.21985815602837","63.94273020206459","0.0","360.0","40.0","9760.0","797.6170212765958","325.59283643344816","107.0","1867.0","853.0","112464.0","322.64539007092196","30.20339024295429","275.0","408.0","313.0","45493.0","346.1105691105098","350.13543329563714","17.038288047940632","64.52380952380952","739.6666666666666","324.4761904761905","5.0","0","122"
"PSM","4","2","79.06902425411576","882.5704288269446","303.7323659461926","4","72.62411347517731","51.18098684459913","0.0","240.0","80.0","10240.0","766.2269503546099","367.6673451600806","107.0","1813.0","747.0","108038.0","306.6737588652482","23.42358288255075","253.0","390.0","303.0","43241.0","346.1105691105098","352.4265348820841","17.038288047940632","70.95238095238095","719.9285714285714","308.6190476190476","5.0","0","122"
"PSM","5","2","67.6729930948028","963.8720471273735","311.05443371803426","5","69.65034965034965","58.66367001351304","0.0","280.0","40.0","9960.0","872.986013986014","327.3950963267294","213.0","1920.0","853.0","124837.0","309.93706293706293","19.19991812747244","274.0","368.0","308.0","44321.0","346.9697322054274","352.4265348820841","17.038288047940632","72.09302325581395","821.0930232558139","311.1162790697674","5.0","0","122"
"PSM","6","2","78.95559173253432","936.329874528273","303.4858986141274","6","79.14285714285714","60.96921872605697","0.0","280.0","80.0","11080.0","825.8357142857143","382.9141874810938","53.0","2346.0","800.0","115617.0","302.24285714285713","15.56738493750298","256.0","341.0","303.0","42314.0","346.68334450712155","353.5720856753076","17.038288047940632","77.77777777777777","792.6888888888889","302.6","5.0","0","122"
"PSM","7","2","69.47314375204536","944.696320334081","312.68947346763406","7","75.71428571428571","62.87068900097524","0.0","440.0","80.0","10600.0","837.6785714285714","307.3214113875326","160.0","1707.0","853.0","117275.0","311.22857142857146","18.61821760323689","272.0","370.0","309.0","43572.0","346.68334450712155","353.5720856753076","17.038288047940632","73.55555555555556","799.1555555555556","310.8888888888889","5.0","0","122"
