"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," "
"","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(µm)","",""
"NT","0","1","125.87819202285854","735.61073977256","0","127.0","52.914777559870046","26.0","266.0","133.0","9779.0","572.038961038961","336.3442175399937","53.0","1440.0","480.0","44047.0","230.42016086503762","383.9347163158635","20.020533535419407","128.32","480.0","5.0","0","137"
"NT","1","2","126.6972114495756","833.7743860141603","1","122.78378378378379","65.56796542212092","0.0","293.0","107.0","9086.0","645.6891891891892","375.682098401837","107.0","1653.0","587.0","47781.0","230.70882784870918","384.51169875424927","20.015500203369434","122.45454545454545","562.5","5.0","0","137"
"NT","2","2","134.5829949750985","850.1999467772324","2","128.0","63.33592977133911","26.0","267.0","133.0","9728.0","694.6184210526316","434.0629744512582","0.0","1867.0","640.0","52791.0","230.42007298112756","383.64618116809874","20.020532768351334","129.0","590.625","5.0","0","137"
"NT","3","2","128.4764114707376","847.3735345814862","3","124.62337662337663","46.669058543005754","0.0","240.0","133.0","9596.0","625.3376623376623","403.67540407158606","0.0","1547.0","534.0","48151.0","234.74858370972962","387.39582023188314","19.945019747444483","128.3181818181818","576.2272727272727","5.0","0","137"
"NT","4","2","116.20136639723913","792.3752915051468","4","121.61842105263158","53.12876612037666","26.0","293.0","107.0","9243.0","552.9078947368421","403.088118658326","53.0","1706.0","480.0","42021.0","235.0377779968616","389.70401355685755","19.939991017802956","127.5909090909091","516.4090909090909","5.0","0","137"
"NT","5","2","116.65132922749993","698.9449438448312","5","117.6","53.22847236461206","26.0","267.0","107.0","8820.0","540.36","318.93452856897375","53.0","1173.0","427.0","40527.0","231.28844679771404","393.16757747290507","20.005453483039428","122.79166666666667","463.2916666666667","5.0","0","137"
"NT","6","2","110.78817309539575","839.1988887405663","6","112.56962025316456","57.39241519267869","26.0","293.0","107.0","8893.0","638.5569620253165","419.19840314689765","0.0","1653.0","587.0","50446.0","225.8086956069184","398.3628794184045","20.10112974780107","117.0","596.3636363636364","5.0","0","137"
"NT","7","2","127.1121900622162","851.3882461911958","7","125.37179487179488","59.00497645188282","0.0","293.0","133.0","9779.0","644.6794871794872","479.2453346070161","0.0","1760.0","533.0","50285.0","222.0592765238608","401.53790818668716","20.166591445969466","123.375","563.9166666666666","5.0","0","137"
"NT","8","2","124.58131911129637","804.0734791107127","8","125.78481012658227","61.109542434598914","26.0","346.0","133.0","9937.0","631.126582278481","417.20511978717485","0.0","1440.0","587.0","49859.0","217.7322598217299","402.6933666349042","20.24211750703358","121.16666666666667","565.0","5.0","0","137"
"NT","9","2","128.95623446064744","791.3447380283931","9","129.23456790123456","56.61631204982764","26.0","347.0","133.0","10468.0","544.4691358024692","422.09620012562755","0.0","1547.0","533.0","44102.0","214.56017470601537","407.02236027995826","20.297512541102034","122.8","480.56","5.0","0","137"
"NT","10","2","131.40945498266208","558.781303401362","10","123.81012658227849","66.90484554706092","0.0","293.0","107.0","9781.0","416.4810126582278","275.5054962809502","53.0","1119.0","320.0","32902.0","214.55999893819526","406.4452899844287","20.297511006965884","119.76923076923077","355.0","5.0","0","137"
"NT","11","2","139.40632543036963","758.0365758266288","11","136.33333333333334","53.506806622880745","26.0","267.0","134.0","10634.0","565.3589743589744","376.06316733695934","0.0","1493.0","533.0","44098.0","219.17612204354805","407.0630578125113","10.113247511879624","135.76","483.72","5.0","0","137"
