Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
PSM,28,2,65.57143882,947.3245066,59,64.64935065,42.80210467,0,187,53,4978,750.4155844,411.8598174,53,2027,773,57782,74.02192142,422.7575916,19.97225629,65.82608696,662.6521739,5,0,104
PSM,29,2,64.30501978,841.7118308,60,62.03846154,39.19330791,0,186,53,4839,688.1923077,318.9802362,0,1440,720,53679,71.10952338,422.2701845,19.87153142,63.96,590.52,5,0,104
PSM,30,2,59.47647769,759.457389,61,62.71794872,47.48503454,0,213,53,4892,628.6153846,323.9695845,0,1414,613,49032,68.28407048,420.6030058,19.87431051,59.95652174,566.1304348,5,0,104
PSM,31,2,63.91810268,770.7906876,62,57.44,43.88475078,0,213,53,4308,608.1866667,321.3267972,0,1333,613,45614,66.09491951,420.9784338,19.7933999,56.13043478,537.0434783,5,0,104
PSM,32,2,59.49792551,753.6248843,63,58.775,45.06197561,0,213,53,4702,610.625,268.8115134,107,1253,640,48850,62.34445454,420.3295051,19.91155603,58.16666667,541.5,5,0,104
PSM,33,2,67.71182376,737.5747641,64,68.11688312,43.03088671,0,187,80,5245,616.2857143,288.0327036,0,1467,640,47454,61.7142472,420.7003843,19.97517644,67,545.173913,5,0,104
PSM,34,2,66.3782396,793.3004206,65,61.90789474,38.85912253,0,187,53,4705,688.6052632,286.622729,26,1253,693,52334,56.76362498,420.6334504,19.80710213,60.45833333,612.6666667,5,0,104
PSM,35,2,70.64297472,834.9651793,66,69.98684211,47.43655227,0,213,53,5319,728.6447368,262.6349915,80,1306,720,55377,54.86539683,421.2876852,19.96596959,67.47826087,662.6086957,5,0,104
PSM,36,2,61.22622188,906.9814847,67,59.45454545,42.29767489,0,160,53,4578,745.8441558,347.7919851,53,1680,800,57430,52.7133267,422.8915108,19.97765945,55.41666667,636.875,5,0,104
PSM,37,2,55.34872435,897.7566907,68,53.86486486,36.25870678,0,160,53,3986,745.472973,362.7467596,0,1466,773,55165,49.08145426,418.390607,19.96619608,48.54166667,620.8333333,5,0,104
PSM,38,2,58.15891685,1033.602014,69,53.52777778,34.81377913,0,159,53,3854,829.125,497.4323066,0,1600,933,59697,46.72564365,418.6968064,20.02753657,54.27272727,707.8636364,5,0,104
PSM,39,2,48.88053997,1020.185962,70,45.01315789,35.21230596,0,187,27,3421,787.2631579,504.4297207,0,1654,854,59832,46.44929898,421.5223251,19.98607176,43.13636364,725.5454545,5,0,104
PSM,40,2,51.00424179,931.1079121,71,40.44736842,36.07710067,0,160,26,3074,683.3947368,482.9507657,0,1626,800,51938,46.00941195,421.4149719,19.95737206,39.04545455,622.7727273,5,0,104
PSM,41,2,42.17632282,1012.74387,72,42.51428571,37.58458783,0,134,27,2976,823.8857143,452.9049407,26,1706,907,57672,44.41089661,420.9323421,20.0558437,37.27272727,685.7727273,5,0,104
PSM,42,2,43.68291931,1044.537016,73,42.67088608,35.27137341,0,159,53,3371,856.9113924,400.1233204,26,1440,960,67696,43.6625673,422.9515452,20.10476727,43.68,714.12,5,0,104
PSM,43,2,51.43251671,1053.525908,74,49.32857143,35.93299781,0,134,53,3453,929.4857143,392.2187996,0,1760,1013,65064,43.20197767,423.1741226,20.14260785,46.69565217,780.0434783,5,0,104
PSM,44,2,41.96895993,1207.657553,75,42.07792208,31.62226324,0,134,53,3240,951.5974026,503.4303187,26,1973,987,73273,45.80379864,422.6857208,20.11997515,41.875,805.875,5,0,104
PSM,45,2,48.57197899,1099.18344,76,50.03488372,37.24401181,0,160,53,4303,752.0930233,516.5948834,0,2026,720,64680,48.8813035,422.3359573,20.81086166,47.61538462,648.1923077,5,0,104
PSM,46,2,39.99836041,834.1267167,77,39.42222222,28.65328492,0,133,27,3548,604.9111111,312.8389988,27,1333,559,54442,48.74960873,419.542069,21.09791871,41.07142857,527.1785714,5,0,104
PSM,47,2,33.34196822,578.8624765,78,40.06666667,35.205592,0,160,26,3606,455.8666667,230.8537744,53,1013,427,41028,47.88967369,420.7675169,21.60312873,37.37931034,404.5862069,5,0,104
PSM,48,2,45.87714144,556.0543777,79,47.95145631,37.86259436,0,160,27,4939,422.1553398,217.9213187,53,934,373,43482,48.23830857,420.2250859,22.04312345,48.03333333,396.5,5,0,104
PSM,49,2,40.4418841,587.5842507,80,42.62626263,34.77554438,0,134,27,4220,408.2222222,264.2768553,26,1040,347,40414,48.15719705,420.6027811,21.96077797,41.9,379.8333333,5,0,104
PSM,50,2,58.5331664,715.3473135,81,58.87096774,42.02722353,0,160,53,5475,506.6451613,294.6655674,0,1307,479,47118,47.99097922,423.2634979,21.42267572,58.28571429,453.8928571,5,0,104
PSM,51,2,65.41148996,579.6406748,82,75.63636364,49.66036784,0,187,80,7488,448.9393939,212.865715,53,1013,400,44445,46.71122325,423.373625,22.18436319,72.33333333,415.0666667,5,0,104
PSM,52,2,55.03418439,430.548923,83,63.38235294,44.96446212,0,186,53,6465,415.3627451,143.2495427,53,800,427,42367,40.98745685,430.2816189,22.18436319,64.5483871,396.4516129,5,0,104
PSM,53,2,65.66076525,780.5637784,84,62.80412371,44.15140597,0,187,53,6092,580.4742268,287.940861,53,1306,613,56306,36.25054672,433.439559,22.18436319,63.79310345,527.137931,5,0,104
