"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," "
"","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(µm)","",""
"PSM","0","1","60.62831672289796","665.9111971812919","0","56.88157894736842","34.61404998176824","0.0","177.0","59.0","4323.0","571.4605263157895","263.8159176794544","39.0","1221.0","552.0","43431.0","429.42610204548356","401.5263512020989","20.22349514151128","56.958333333333336","508.2083333333333","5.0","0","110"
"PSM","1","2","64.42892806766768","670.6373338597631","1","59.79220779220779","36.97664186680189","0.0","158.0","59.0","4604.0","599.7922077922078","235.37491580691886","0.0","1142.0","630.0","46184.0","430.9409116415207","405.161894232588","20.22349514151128","60.0","556.4347826086956","5.0","0","110"
"PSM","2","2","65.22496394815306","630.741873100069","2","64.875","36.88654346245518","0.0","158.0","59.0","5190.0","563.575","236.76216635628575","39.0","906.0","591.0","45086.0","434.8794165912172","406.37374190941773","20.22349514151128","66.64","537.72","5.0","0","110"
"PSM","3","2","84.35044013748096","631.2848159708788","3","82.52","45.4507039162925","0.0","217.0","78.0","6189.0","552.88","255.68630273326218","39.0","1102.0","552.0","41466.0","437.9090357832915","408.1915134246623","20.22349514151128","81.8695652173913","505.2608695652174","5.0","0","110"
"PSM","4","2","80.70370146202205","627.310249776868","4","85.74666666666667","43.14121793232876","0.0","236.0","79.0","6431.0","555.48","243.6547380030837","78.0","1102.0","551.0","41661.0","439.1208834601212","408.4944753438697","20.22349514151128","84.95652173913044","531.304347826087","5.0","0","110"
"PSM","5","2","93.28034421426632","654.6918155318574","5","96.77777777777777","41.09379515206645","0.0","197.0","98.0","7839.0","546.4938271604939","269.0682127015745","39.0","1142.0","551.0","44266.0","444.27123608664743","408.79743726307714","20.22349514151128","97.8076923076923","517.4230769230769","5.0","0","110"
"PSM","6","2","90.13110341108685","651.3425289705108","6","100.0126582278481","47.36965751511871","20.0","256.0","98.0","7901.0","587.6582278481013","247.06694234953295","0.0","1181.0","590.0","46425.0","446.6949314403069","408.79743726307714","20.22349514151128","96.0","526.7307692307693","5.0","0","110"
"PSM","7","2","122.32008812638156","719.5911963552059","7","124.05194805194805","80.3082705487024","39.0","591.0","118.0","9552.0","624.3636363636364","275.81815658580626","78.0","1299.0","630.0","48076.0","450.330474470796","411.52409453594396","20.22349514151128","144.08333333333334","555.4583333333334","5.0","0","110"
"PSM","8","2","115.59160952984594","679.1990461034937","8","131.0253164556962","84.97254076578764","20.0","473.0","118.0","10351.0","582.0759493670886","288.88937516083547","0.0","1181.0","630.0","45984.0","452.75416982445546","414.85667564722564","20.22349514151128","136.69565217391303","564.2608695652174","5.0","0","110"
"PSM","9","2","145.26530486632697","716.2976886729756","9","156.25","91.17198575174005","20.0","590.0","138.0","11250.0","628.9027777777778","294.91613320735456","0.0","1299.0","630.0","45281.0","456.08675093573703","416.3714852432628","20.22349514151128","160.17391304347825","557.4782608695652","5.0","0","110"
"PSM","10","2","158.70214736564182","746.8939492965474","10","155.6","69.12849895006117","40.0","453.0","157.0","12448.0","633.4625","297.41591488024073","39.0","1103.0","709.0","50677.0","459.7222939662262","416.6744471624702","20.22349514151128","151.7391304347826","601.8695652173913","5.0","0","110"
"PSM","11","2","143.23391837557898","767.3008289358567","11","148.275","71.72415072671375","0.0","394.0","138.0","11862.0","625.5875","360.0645404083741","39.0","1300.0","669.0","50047.0","460.02525588543364","418.1892567585073","20.22349514151128","139.6","573.52","5.0","0","110"
