"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," "
"","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(µm)","",""
"NT","0","1","228.91243653624275","1229.8133067144022","0","209.44155844155844","69.38138183192751","20.0","394.0","197.0","16127.0","907.7272727272727","562.6249717633184","79.0","2284.0","866.0","69895.0","313.22221745465373","211.4561173452477","9.92728991162401","207.27272727272728","833.8181818181819","5.0","0","145"
"NT","1","2","228.75861395416683","1132.8080615756867","1","204.15584415584416","74.58941383457788","20.0","394.0","197.0","15720.0","849.4935064935065","527.155964721533","0.0","1930.0","866.0","65411.0","313.4712072219711","210.7091480432957","9.92728991162401","202.04166666666666","736.125","5.0","0","145"
"NT","2","2","251.07598743352284","1148.577620963529","2","228.97402597402598","89.52961492183437","20.0","472.0","217.0","17631.0","889.8441558441558","626.1632556781412","40.0","2087.0","788.0","68518.0","309.23838117757646","209.9621787413437","9.92728991162401","217.08","756.2","5.0","0","145"
"NT","3","2","230.10729579021967","1023.4686034407551","3","210.36363636363637","99.16372812715625","20.0","473.0","197.0","16198.0","843.3766233766233","636.2615739607216","0.0","1969.0","827.0","64940.0","307.2464630390378","207.4722810681704","9.92728991162401","206.2608695652174","796.304347826087","5.0","0","145"
"NT","4","2","247.51985434220325","1205.2502671227874","4","229.67532467532467","89.00050880375576","39.0","492.0","217.0","17685.0","900.5714285714286","700.363372388547","40.0","2520.0","709.0","69344.0","306.0015142024511","208.96621967207437","9.92728991162401","219.22727272727272","862.4545454545455","5.0","0","145"
"NT","5","2","252.62532531379014","1151.8321791828346","5","230.4025974025974","89.08042784329045","59.0","433.0","217.0","17741.0","901.1428571428571","622.2348878350504","79.0","1969.0","748.0","69388.0","306.7484835044031","209.46419920670905","9.92728991162401","219.875","770.5","5.0","0","145"
"NT","6","2","234.70886515585397","1206.8223993065642","6","223.35064935064935","91.24183687117124","20.0","493.0","217.0","17198.0","892.4545454545455","661.8589559052305","39.0","2245.0","866.0","68719.0","306.25050396976843","207.72127083548773","9.92728991162401","215.54166666666666","795.4166666666666","5.0","0","145"
"NT","7","2","223.15692425589023","1094.1934280881965","7","205.34246575342465","88.38036785176556","0.0","394.0","197.0","14990.0","861.4520547945206","569.0384931593891","39.0","1772.0","1024.0","62886.0","306.0015142024511","209.46419920670905","9.92728991162401","195.04347826086956","773.5217391304348","5.0","0","145"
"NT","8","2","239.62997976874925","1105.9899053060576","8","218.84285714285716","92.1817102350751","20.0","413.0","217.0","15319.0","886.0857142857143","654.0715899047266","0.0","2442.0","867.0","62026.0","301.5196983907391","206.9743015335357","9.92728991162401","211.9090909090909","779.6818181818181","5.0","0","145"
"NT","9","2","210.81987983962912","972.5959458347427","9","194.41558441558442","99.55193707298172","20.0","453.0","197.0","14970.0","785.4805194805194","613.0614850762827","40.0","2087.0","552.0","60482.0","300.7727290887871","208.46824013743972","9.92728991162401","187.625","708.5416666666666","5.0","0","145"
"NT","10","2","217.8596927619743","980.0779579558556","10","191.67567567567568","93.2997978397299","0.0","413.0","177.0","14184.0","773.1756756756756","577.247207510183","0.0","1851.0","591.0","57215.0","301.2707086234218","207.22329130085305","9.92728991162401","179.04347826086956","682.0434782608696","5.0","0","145"
"NT","11","2","218.52352838040193","1015.1876664987061","11","188.12820512820514","85.59468956921849","39.0","414.0","177.0","14674.0","771.974358974359","522.3084120096835","0.0","2048.0","788.0","60214.0","303.5116165292778","208.96621967207437","9.92728991162401","179.875","686.5","5.0","0","145"
