"Label","ID","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," "
"","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(Counts)","(µm)","",""
"NT","0","1","243.83224120369619","1811.6709579096491","0","237.89743589743588","65.29187012965934","98.0","414.0","236.0","18556.0","1582.7051282051282","561.5338712355548","551.0","2835.0","1536.0","123451.0","339.6676992804946","347.0466864818799","30.0941609530826","233.83333333333334","1471.875","5.0","0","145"
"NT","1","2","206.8235572932247","1931.3565652113482","1","217.16883116883116","68.85939193622308","59.0","413.0","216.0","16722.0","1681.5844155844156","607.5293008019265","590.0","3151.0","1772.0","129482.0","333.63396682163165","349.1352861791786","30.0941609530826","212.30434782608697","1607.3478260869565","5.0","0","145"
"NT","2","2","222.39162674821154","1945.280572837162","2","219.32876712328766","67.77947386654436","59.0","394.0","217.0","16011.0","1678.2191780821918","678.9266292909906","512.0","3269.0","1811.0","122510.0","333.1698335555653","351.6880191425437","30.0941609530826","221.2608695652174","1539.8260869565217","5.0","0","145"
"NT","3","2","243.98215825614","2023.2747369597478","3","246.3835616438356","66.31755049611812","137.0","374.0","237.0","17986.0","1726.849315068493","738.3995581893633","197.0","3229.0","1772.0","126060.0","333.1698335555653","351.6880191425437","30.0941609530826","243.1304347826087","1574.8695652173913","5.0","0","145"
"NT","4","2","235.71039227379606","1863.9827232692144","4","227.7948717948718","66.76287929142997","98.0","394.0","217.0","17768.0","1600.448717948718","699.5870516172687","512.0","2836.0","1614.0","124835.0","334.7942999867976","352.6162856746764","30.0941609530826","222.17391304347825","1479.4782608695652","5.0","0","145"
"NT","5","2","234.81524034669508","1804.1116396335617","5","232.06849315068493","63.625058124209055","78.0","413.0","236.0","16941.0","1586.5342465753424","739.2608561219889","315.0","3268.0","1732.0","115817.0","336.88289968409634","352.6162856746764","30.0941609530826","224.65217391304347","1445.695652173913","5.0","0","145"
"NT","6","2","240.57776050983372","2093.1205010063786","6","236.10256410256412","68.47249703700638","137.0","473.0","236.0","18416.0","1780.2435897435898","716.748705005601","473.0","3111.0","1851.0","138859.0","337.3470329501627","353.08041894074285","30.0941609530826","231.5","1689.409090909091","5.0","0","145"
"NT","7","2","243.88930028915433","2096.3901021094107","7","248.31645569620252","76.07124600877876","59.0","473.0","255.0","19617.0","1799.0759493670887","717.7243555627723","512.0","3505.0","1969.0","142127.0","339.6676992804946","354.70488537197514","30.0941609530826","242.12","1619.48","5.0","0","145"
"NT","8","2","236.25443976787264","1995.3561579163554","8","229.30769230769232","68.3507583997879","98.0","413.0","236.0","17886.0","1739.2307692307693","616.4676274260762","472.0","2717.0","1811.0","135660.0","340.8280324456606","356.0972851701743","30.0941609530826","234.2173913043478","1680.0869565217392","5.0","0","145"
"NT","9","2","244.75685659824134","2211.173850408517","9","238.74666666666667","67.07218647247306","79.0","394.0","236.0","17906.0","1924.3333333333333","629.8691913391208","551.0","3229.0","2008.0","144325.0","339.89976591352786","354.70488537197514","30.0941609530826","231.375","1719.6666666666667","5.0","0","145"
"NT","10","2","259.03484468035356","2160.6516715316357","10","246.1375","68.42842398346436","118.0","413.0","236.0","19691.0","1851.85","702.8232775695972","512.0","3072.0","2048.0","148148.0","339.89976591352786","356.5614184362407","30.0941609530826","245.79166666666666","1708.2083333333333","5.0","0","145"
"NT","11","2","253.1144360457821","2066.6389080046333","11","239.47368421052633","73.27709486312179","98.0","394.0","236.0","18200.0","1746.2368421052631","743.6740481047873","433.0","3072.0","1969.0","132714.0","338.2752994822955","355.63315190410793","30.0941609530826","236.66666666666666","1590.1666666666667","5.0","0","145"
