Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
NT,25,2,113.0679868,848.2996124,47,102.1309524,57.93677064,0,266,106,8579,625.9404762,401.397449,0,1360,693,52579,287.1162062,165.9735993,19.40434269,107.52,556.8,5,0,80
NT,26,2,126.8806658,734.5819172,48,125.04,57.83981608,0,267,133,9378,588.64,341.8537557,0,1173,640,44148,289.6216527,165.6959955,20.01204325,128.0416667,506.4166667,5,0,80
NT,27,2,115.3433598,802.5047433,49,114.4675325,63.0143226,0,293,107,8814,644.3636364,329.2459051,0,1254,694,49616,290.2314542,163.7922309,20.31589353,119.4166667,552.4583333,5,0,80
NT,28,2,117.7247048,732.8990736,50,106,60.4935947,0,267,107,8586,547.7160494,396.3811371,26,1333,507,44365,286.7116427,167.5875453,19.70819297,106.125,481.9166667,5,0,80
NT,29,2,102.9251659,776.2171422,51,101.1875,57.08467922,0,213,107,8095,551.225,397.3677624,0,1360,533,44098,284.4717626,168.6562202,19.70819297,104.3478261,509.0434783,5,0,80
NT,30,2,91.61151684,744.5106301,52,91.69620253,51.96259859,0,240,80,7244,561.8860759,347.7569881,0,1440,587,44389,284.2363605,166.6759945,19.70819297,89,470.36,5,0,80
NT,31,2,78.09188449,722.8231663,53,90.55,58.62515553,0,373,80,7244,607.8875,301.4262298,26,1307,667,48631,282.9020126,169.2200088,20.31589353,88.65217391,549.6956522,5,0,80
NT,32,2,84.24670083,779.4104789,54,76.87654321,48.33047246,0,266,80,6227,571.0246914,354.8621555,0,1360,586,46253,281.8817354,166.7987525,19.70819297,75.8,485.84,5,0,80
NT,33,2,79.12570249,785.0167624,55,74.28947368,38.18719359,0,160,80,5646,604.4868421,324.5101126,53,1174,693,45941,282.9865933,162.3572763,20.01204325,72.18181818,537.8636364,5,0,80
NT,34,2,71.88148052,696.4704521,58,67.3164557,37.24332475,0,186,53,5318,544.7088608,312.2482638,0,1227,507,43032,278.8569804,168.1148669,19.70819297,66.58333333,474.75,5,0,80
